GlobalID,Score,x,y,r,x_min,y_min,x_max,y_max,x_shape,y_shape,frameID,time,condition,outlier,cell_count_v3_Target,cell_count_v3_Effector,cell_count_v3_dead_Target,cell_count_v3_dead_Effector
1717,0.999999999999994,1920,2959,65,1855,2894,1985,3024,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1718,0.999999999999994,1206,2960,65,1141,2895,1271,3025,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1719,0.999999999999994,8417,2962,65,8352,2897,8482,3027,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1720,0.999999999999994,760,2964,65,695,2899,825,3029,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1721,0.999999999999994,903,2964,65,838,2899,968,3029,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1722,0.999999999999994,6639,2964,65,6574,2899,6704,3029,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1723,0.999999999999994,1495,2965,65,1430,2900,1560,3030,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1724,0.999999999999994,1777,2966,65,1712,2901,1842,3031,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1725,0.999999999999994,6791,2966,65,6726,2901,6856,3031,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1726,0.999999999999994,1044,2972,65,979,2907,1109,3037,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1727,0.999999999999994,1352,2975,65,1287,2910,1417,3040,130,130,0,1,HFE7500_THP1_300_170,False,0,1,1,0
1728,0.999999999999994,1636,2977,65,1571,2912,1701,3042,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1729,0.999999999999994,8559,2977,65,8494,2912,8624,3042,130,130,0,1,HFE7500_THP1_300_170,False,2,0,1,0
1730,0.999999999999994,8699,2985,65,8634,2920,8764,3050,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1731,0.9920212765957388,8838,3004,65,8773,2939,8903,3069,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1732,0.999999999999994,8979,3009,65,8914,2944,9044,3074,130,130,0,1,HFE7500_THP1_300_170,False,2,0,1,0
1733,0.999999999999994,6983,3014,65,6918,2949,7048,3079,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1734,0.999999999999994,95,3019,65,30,2954,160,3084,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1735,0.999999999999994,9119,3019,65,9054,2954,9184,3084,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1736,0.999999999999994,7140,3020,65,7075,2955,7205,3085,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1737,0.999999999999994,5110,3024,65,5045,2959,5175,3089,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1738,0.999999999999994,5256,3029,65,5191,2964,5321,3094,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1739,0.999999999999994,9260,3029,65,9195,2964,9325,3094,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1740,0.999999999999994,4967,3031,65,4902,2966,5032,3096,130,130,0,1,HFE7500_THP1_300_170,False,3,0,1,0
1741,0.999999999999994,4826,3033,65,4761,2968,4891,3098,130,130,0,1,HFE7500_THP1_300_170,False,2,0,1,0
1742,0.999999999999994,4380,3034,65,4315,2969,4445,3099,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1743,0.999999999999994,7439,3034,66,7373,2968,7505,3100,132,132,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1744,0.999999999999994,9540,3034,65,9475,2969,9605,3099,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1745,0.999999999999994,4674,3035,65,4609,2970,4739,3100,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1746,0.999999999999994,5410,3035,65,5345,2970,5475,3100,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1747,0.999999999999994,5548,3035,65,5483,2970,5613,3100,130,130,0,1,HFE7500_THP1_300_170,False,0,0,2,0
1748,0.999999999999994,3482,3036,65,3417,2971,3547,3101,130,130,0,1,HFE7500_THP1_300_170,False,2,0,1,0
1749,0.9680851063829732,7286,3036,65,7221,2971,7351,3101,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1750,0.999999999999994,3189,3037,65,3124,2972,3254,3102,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1751,0.999999999999994,3330,3038,66,3264,2972,3396,3104,132,132,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1752,0.999999999999994,9400,3039,65,9335,2974,9465,3104,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1753,0.999999999999994,236,3040,66,170,2974,302,3106,132,132,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1754,0.999999999999994,9686,3041,65,9621,2976,9751,3106,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1755,0.999999999999994,4077,3043,65,4012,2978,4142,3108,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1756,0.999999999999994,9990,3044,65,9925,2979,10055,3109,130,130,0,1,HFE7500_THP1_300_170,False,2,0,1,0
1757,0.999999999999994,3051,3047,65,2986,2982,3116,3112,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1758,0.999999999999994,4528,3047,65,4463,2982,4593,3112,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1759,0.999999999999994,3636,3048,65,3571,2983,3701,3113,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1760,0.999999999999994,7591,3052,65,7526,2987,7656,3117,130,130,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1761,0.999999999999994,10141,3052,65,10076,2987,10206,3117,130,130,0,1,HFE7500_THP1_300_170,False,1,1,1,0
1762,0.999999999999994,3935,3053,65,3870,2988,4000,3118,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1763,0.999999999999994,6132,3053,65,6067,2988,6197,3118,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1764,0.999999999999994,5825,3054,65,5760,2989,5890,3119,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1765,0.999999999999994,10280,3055,65,10215,2990,10345,3120,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1766,0.999999999999994,2908,3056,65,2843,2991,2973,3121,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1767,0.999999999999994,9827,3056,65,9762,2991,9892,3121,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1768,0.999999999999994,2314,3058,65,2249,2993,2379,3123,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1769,0.999999999999994,7732,3058,65,7667,2993,7797,3123,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1770,0.999999999999994,10994,3058,65,10929,2993,11059,3123,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
