GlobalID,Score,x,y,r,x_min,y_min,x_max,y_max,x_shape,y_shape,frameID,time,condition,outlier
117,0.999999999999994,5994,385,65,5929,320,6059,450,130,130,0,1,HFE7500_K562_300_150_region15,False
118,0.999999999999994,6257,386,65,6192,321,6322,451,130,130,0,1,HFE7500_K562_300_150_region15,False
119,0.999999999999994,2599,387,65,2534,322,2664,452,130,130,0,1,HFE7500_K562_300_150_region15,False
120,0.7579787234042529,4052,387,65,3987,322,4117,452,130,130,0,1,HFE7500_K562_300_150_region15,False
121,0.999999999999994,6390,389,65,6325,324,6455,454,130,130,0,1,HFE7500_K562_300_150_region15,False
122,0.999999999999994,3259,392,65,3194,327,3324,457,130,130,0,1,HFE7500_K562_300_150_region15,False
123,0.999999999999994,6523,392,65,6458,327,6588,457,130,130,0,1,HFE7500_K562_300_150_region15,False
124,0.999999999999994,6654,394,65,6589,329,6719,459,130,130,0,1,HFE7500_K562_300_150_region15,False
125,0.999999999999994,3125,395,65,3060,330,3190,460,130,130,0,1,HFE7500_K562_300_150_region15,False
126,0.999999999999994,6786,395,65,6721,330,6851,460,130,130,0,1,HFE7500_K562_300_150_region15,False
127,0.999999999999994,2992,397,65,2927,332,3057,462,130,130,0,1,HFE7500_K562_300_150_region15,False
128,0.999999999999994,6923,400,65,6858,335,6988,465,130,130,0,1,HFE7500_K562_300_150_region15,False
129,0.999999999999994,7202,400,65,7137,335,7267,465,130,130,0,1,HFE7500_K562_300_150_region15,False
130,0.999999999999994,2861,401,65,2796,336,2926,466,130,130,0,1,HFE7500_K562_300_150_region15,False
131,0.999999999999994,7060,403,65,6995,338,7125,468,130,130,0,1,HFE7500_K562_300_150_region15,False
132,0.999999999999994,1360,405,65,1295,340,1425,470,130,130,0,1,HFE7500_K562_300_150_region15,False
133,0.999999999999994,3392,405,65,3327,340,3457,470,130,130,0,1,HFE7500_K562_300_150_region15,False
134,0.999999999999994,7334,405,65,7269,340,7399,470,130,130,0,1,HFE7500_K562_300_150_region15,False
135,0.997340425531909,1232,411,65,1167,346,1297,476,130,130,0,1,HFE7500_K562_300_150_region15,False
136,0.999999999999994,7466,411,65,7401,346,7531,476,130,130,0,1,HFE7500_K562_300_150_region15,False
137,0.8643617021276556,1487,432,65,1422,367,1552,497,130,130,0,1,HFE7500_K562_300_150_region15,False
138,0.999999999999994,1611,449,65,1546,384,1676,514,130,130,0,1,HFE7500_K562_300_150_region15,False
139,0.999999999999994,1761,459,65,1696,394,1826,524,130,130,0,1,HFE7500_K562_300_150_region15,False
140,0.999999999999994,5211,469,65,5146,404,5276,534,130,130,0,1,HFE7500_K562_300_150_region15,False
141,0.999999999999994,5494,469,65,5429,404,5559,534,130,130,0,1,HFE7500_K562_300_150_region15,False
142,0.999999999999994,5632,469,65,5567,404,5697,534,130,130,0,1,HFE7500_K562_300_150_region15,False
143,0.999999999999994,4927,476,65,4862,411,4992,541,130,130,0,1,HFE7500_K562_300_150_region15,False
144,0.999999999999994,4797,477,65,4732,412,4862,542,130,130,0,1,HFE7500_K562_300_150_region15,False
145,0.999999999999994,5364,477,65,5299,412,5429,542,130,130,0,1,HFE7500_K562_300_150_region15,False
146,0.999999999999994,5061,479,65,4996,414,5126,544,130,130,0,1,HFE7500_K562_300_150_region15,False
147,0.999999999999994,3586,481,65,3521,416,3651,546,130,130,0,1,HFE7500_K562_300_150_region15,False
148,0.999999999999994,2284,482,65,2219,417,2349,547,130,130,0,1,HFE7500_K562_300_150_region15,False
149,0.999999999999994,2151,484,65,2086,419,2216,549,130,130,0,1,HFE7500_K562_300_150_region15,False
150,0.999999999999994,3717,484,65,3652,419,3782,549,130,130,0,1,HFE7500_K562_300_150_region15,False
151,0.7499999999999977,6050,484,65,5985,419,6115,549,130,130,0,1,HFE7500_K562_300_150_region15,False
152,0.999999999999994,1893,487,65,1828,422,1958,552,130,130,0,1,HFE7500_K562_300_150_region15,False
153,0.8829787234042511,2026,487,65,1961,422,2091,552,130,130,0,1,HFE7500_K562_300_150_region15,False
154,0.999999999999994,2416,487,65,2351,422,2481,552,130,130,0,1,HFE7500_K562_300_150_region15,False
155,0.999999999999994,4656,487,65,4591,422,4721,552,130,130,0,1,HFE7500_K562_300_150_region15,False
156,0.999999999999994,4523,488,65,4458,423,4588,553,130,130,0,1,HFE7500_K562_300_150_region15,False
157,0.999999999999994,3852,489,65,3787,424,3917,554,130,130,0,1,HFE7500_K562_300_150_region15,False
158,0.999999999999994,3985,489,65,3920,424,4050,554,130,130,0,1,HFE7500_K562_300_150_region15,False
159,0.999999999999994,4390,489,65,4325,424,4455,554,130,130,0,1,HFE7500_K562_300_150_region15,False
160,0.999999999999994,4120,491,65,4055,426,4185,556,130,130,0,1,HFE7500_K562_300_150_region15,False
161,0.999999999999994,4253,491,65,4188,426,4318,556,130,130,0,1,HFE7500_K562_300_150_region15,False
162,0.999999999999994,2676,497,65,2611,432,2741,562,130,130,0,1,HFE7500_K562_300_150_region15,False
163,0.999999999999994,5786,499,65,5721,434,5851,564,130,130,0,1,HFE7500_K562_300_150_region15,False
164,0.999999999999994,6187,499,65,6122,434,6252,564,130,130,0,1,HFE7500_K562_300_150_region15,False
165,0.999999999999994,5920,500,65,5855,435,5985,565,130,130,0,1,HFE7500_K562_300_150_region15,False
166,0.8829787234042511,2550,502,65,2485,437,2615,567,130,130,0,1,HFE7500_K562_300_150_region15,False
167,0.999999999999994,6321,502,65,6256,437,6386,567,130,130,0,1,HFE7500_K562_300_150_region15,False
168,0.999999999999994,6455,507,65,6390,442,6520,572,130,130,0,1,HFE7500_K562_300_150_region15,False
169,0.999999999999994,3195,510,65,3130,445,3260,575,130,130,0,1,HFE7500_K562_300_150_region15,False
170,0.999999999999994,6716,510,65,6651,445,6781,575,130,130,0,1,HFE7500_K562_300_150_region15,False
171,0.999999999999994,6585,511,65,6520,446,6650,576,130,130,0,1,HFE7500_K562_300_150_region15,False
172,0.999999999999994,6849,511,65,6784,446,6914,576,130,130,0,1,HFE7500_K562_300_150_region15,False
173,0.999999999999994,3061,513,65,2996,448,3126,578,130,130,0,1,HFE7500_K562_300_150_region15,False
